Start Time, 2023-03-01 00:00:00
End Time, 2023-03-02 23:59:59
All Campaigns of:
Advertiser: TCP - Beverages(SO16O37QYVFV)
Campaign ID,Campaign Name,campaign_status,campaign_budget,Views,Clicks,CTR,CVR,Ad Spend,Units Sold (Direct),Units Sold (Indirect),Direct Revenue,Indirect Revenue,ROI (Direct),ROI (Indirect)
YNORWQKAM284,PLA - Flipkart - Tetley Green - Jan 23,LIVE,156000.0,22342,181,0.8101,3.3149,2896.0000,3,3,1500.0000,1428.0000,0.5180,0.4931
BL7TCQV8MSX9,PLA - Flipkart - Tetley Black - Jan 23,LIVE,82316.0,19687,142,0.7213,4.2254,1278.0000,2,4,466.0000,1563.0000,0.3646,1.2230
724S2XQIBYJK,PLA - Flipkart - Agni - Jan 23,LIVE,234000.0,16414,506,3.0827,5.3360,5060.0000,23,4,5005.0000,1560.0000,0.9891,0.3083
4FX2RUSWYX3M,PLA - Flipkart - Tata Tea Premium - Jan 23,LIVE,137400.0,15136,375,2.4775,7.7333,4125.0000,22,7,11958.0000,2531.0000,2.8989,0.6136
KQT89CZKAWPK,PLA - Flipkart - Tata Tea Gold Keyword - Jan 23,LIVE,166600.0,15104,385,2.5490,10.6494,3465.0000,33,8,11462.0000,2483.0000,3.3079,0.7166
A91YY9DRC9X6,PLA - Flipkart - Chakra Gold Care - Feb 23,TOTAL_BUDGET_MET,20000.0,14908,390,2.6160,2.5641,6369.0000,10,0,3728.0000,0.0000,0.5853,0.0000
GQ1RR2SEAFJ0,PLA - Flipkart - Tetley Green Keyword - Jan 23,LIVE,116760.0,13632,160,1.1737,11.8750,2080.0000,13,6,6283.0000,2976.0000,3.0207,1.4308
1SPXSS9VW35T,PLA - Flipkart - Gold Darjeeling - Jan 23,LIVE,61766.0,11268,284,2.5204,3.1690,4544.0000,1,8,282.0000,2793.0000,0.0621,0.6147
GIBL59ZKQNF1,PLA - Flipkart - Tata Coffee Gold - Jan 23,LIVE,116360.0,10464,175,1.6724,1.7143,1925.0000,3,0,996.0000,0.0000,0.5174,0.0000
S0X861JNXQUC,PLA - Flipkart - Tata Tea Gold - Jan 23,LIVE,154640.0,6509,133,2.0433,7.5188,1995.0000,5,5,2143.0000,1748.0000,1.0742,0.8762
AZBNIFNY5Z5N,PLA - Flipkart - Tata Tea Gold 750 - Jan 23 ,LIVE,203840.0,6159,166,2.6952,6.0241,2822.0000,6,4,2051.0000,1853.0000,0.7268,0.6566
30SQJ45T8T7O,PLA - Flipkart - Teaveda - Jan 23,LIVE,58100.0,5113,129,2.5230,0.7752,1290.0000,1,0,206.0000,0.0000,0.1597,0.0000
K15UFIYMJY2Q,PLA - Flipkart - Tata Tea Premium Keyword - Jan 23,LIVE,123400.0,3531,92,2.6055,15.2174,1196.0000,12,2,6408.0000,724.0000,5.3579,0.6054
E98VJTZ5QCMZ,PLA - Flipkart - Tata Tea Gold Care - Feb 23,LIVE,42000.0,3418,53,1.5506,9.4340,704.6000,1,4,504.0000,1154.0000,0.7153,1.6378
5DM8YQNS7X7K,PLA - Flipkart - Teaveda Keyword - Jan 23,LIVE,67327.0,2893,105,3.6295,1.9048,1050.0000,2,0,412.0000,0.0000,0.3924,0.0000
0GQX3QOXUFH4,PLA - Flipkart - Chakra Gold - Jan 23,LIVE,54000.0,27,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
